"dates","q_ca_0004","q_ca_0006","q_ht_0006","q_ma_0004","q_mk_0005","q_sd_0001","q_sk_0002"
2001-01-01,59.029,51.981,47.466,70.043,102.194,85.653,99.329
2001-02-01,45.687,42.971,34.155,46.266,95.277,56.441,104.114
2001-03-01,81.773,95.142,67.246,62.417,102.667,63.775,137.542
2001-04-01,89.398,104.273,76.594,97.698,107.271,80.924,156.845
2001-05-01,94.368,86.969,102.769,76.58,99.516,84.103,116.514
2001-06-01,96.547,94.432,101.182,82.586,80.981,68.583,97.954
2001-07-01,103.601,95.148,103.597,90.516,100.112,92.156,116.156
2001-08-01,116.52,105.85,131.334,120.577,84.222,75.464,111.431
2001-09-01,114.097,104.897,128.148,116.949,83.589,85.375,104.907
2001-10-01,81.198,79.43,91.179,83.836,90.577,118.575,80.505
2001-11-01,84.834,74.51,70.788,82.414,86.668,113.415,76.209
2001-12-01,52.606,38.415,45.383,55.557,71.491,86.245,54.028
2002-01-01,64.014,56.452,52.886,66.399,102.176,57.632,97.19
2002-02-01,50.163,53.906,44.958,62.817,94.368,45.497,95.138
2002-03-01,70.007,70.689,59.061,58.036,100.576,36.345,123.42
2002-04-01,102.078,101.863,72.074,84.838,93.128,45.083,144.135
2002-05-01,122.444,103.186,89.668,88.008,95.379,80.135,120.254
2002-06-01,105.598,99.336,88.972,94.681,86.849,100.077,119.168
2002-07-01,93.601,91.563,108.131,89.448,100.674,105.645,121.458
2002-08-01,111.377,88.378,130.23,121.354,82.534,98.702,97.669
2002-09-01,107.289,89.611,122.473,113.577,79.23,100.643,79.895
2002-10-01,110.623,99.19,102.871,112.06,95.132,120.801,110.602
2002-11-01,84.404,82.189,83.418,81.835,104.505,129.269,86.961
2002-12-01,56.706,42.794,47.037,60.825,96.382,110.173,93.653
2003-01-01,75.711,69.797,61.662,74.292,100.092,75.341,102.057
2003-02-01,96.179,87.7,76.052,88.551,98.449,60.658,127.017
2003-03-01,107.22,94.905,84.164,85.533,108.109,64.045,131.737
2003-04-01,98.662,99.973,98.777,98.482,100.42,69.946,154.13
2003-05-01,119.782,117.587,104.579,105.051,88.449,109.854,125.449
2003-06-01,116.329,118.613,110.069,96.658,101.441,100.495,115.515
2003-07-01,129.344,138.172,143.309,121.851,98.599,98.27,126.397
2003-08-01,99.712,81.845,90.465,115.436,96.972,95.693,104.197
2003-09-01,119.338,126.223,123.959,134.487,91.687,89.295,115.014
2003-10-01,109.186,95.546,95.815,108.589,108.491,119.008,128.506
2003-11-01,80.026,72.73,65.961,85.717,97.453,112.121,79.673
2003-12-01,55.128,43.067,41.457,57.237,74.609,72.044,50.881
2004-01-01,50.744,45.749,37.767,52.159,87.231,50.311,86.843
2004-02-01,54.635,62.143,42.008,45.907,87.147,41.294,118.236
2004-03-01,64.991,66.767,45.731,41.956,92.922,44.516,123.824
2004-04-01,108.17,108.081,90.269,79.05,95.197,54.11,147.962
2004-05-01,109.79,116.948,107.288,93.719,94.776,108.031,133.133
2004-06-01,116.174,126.146,99.172,100.774,105.367,95.212,122.759
2004-07-01,106.496,102.291,94.755,103.754,99.547,87.982,122.376
2004-08-01,108.343,116.963,126.603,123.464,90.031,84.271,113.996
2004-09-01,109.507,100.391,126.87,116.791,97.234,110.876,99.092
2004-10-01,96.124,86.541,85.313,91.627,118.144,133.191,113.497
2004-11-01,82.566,61.336,63.518,77.884,85.553,111.174,92.068
2004-12-01,64.318,58.094,46.768,62.393,79.353,67.425,79.308
2005-01-01,63.75,58.27,40.419,67.688,82.58,50.228,105.192
2005-02-01,47.669,48.949,33.184,60.674,84.684,41.958,113.925
2005-03-01,66.636,64.994,42.96,58.605,96.837,38.907,139.951
2005-04-01,91.897,104.266,78.244,86.96,87.413,50.838,139.539
2005-05-01,113.014,126.646,89.918,99.771,94.473,87.296,126.139
2005-06-01,88.661,102.568,81.053,90.59,86.633,90.43,116.361
2005-07-01,127.846,125.888,130.362,121.949,94.644,89.327,124.817
2005-08-01,86.51,75.762,104.185,99.934,93.078,84.772,111.768
2005-09-01,111.593,103.055,137.609,119.511,91.415,74.043,114.584
2005-10-01,90.312,85.797,90.309,103.88,86.136,124.139,85.307
2005-11-01,79.219,57.426,66.588,84.216,86.289,114.413,130.21
2005-12-01,46.933,38.66,40.971,56.208,69.045,95.025,90.91
2006-01-01,70.006,66.686,44.694,72.556,102.984,87.734,102.4
2006-02-01,59.531,56.209,40.941,72.865,107.277,77.413,107.812
