"dates","et_mm8"
"20010101",30.2717268939884
"20010109",10.3462144054807
"20010117",20.4385953866963
"20010125",16.6005430244914
"20010202",10.4791512298345
"20010210",13.1911905469754
"20010218",11.2522891802213
"20010226",15.2942757951078
"20010306",13.3168549622318
"20010314",25.8450995290437
"20010322",20.9114455792653
"20010330",22.5378881005065
"20010407",19.9241903723109
"20010415",25.0163940656619
"20010423",25.644728368331
"20010501",24.3462000532003
"20010509",28.5707215399951
"20010517",22.4206705218943
"20010525",NA
"20010602",21.3067855062416
"20010610",33.867296590132
"20010618",20.3312298313719
"20010704",22.5520404942114
"20010712",27.2615256168946
"20010720",27.066083386069
"20010728",28.1487619131069
"20010805",26.2630433762003
"20010813",34.9715944444498
"20010821",29.0400273592068
"20010829",NA
"20010906",24.0967498147691
"20010914",34.6532371518014
"20010922",31.2410148299023
"20010930",30.1304415147761
"20011008",26.9798820039568
"20011016",17.5051299363822
"20011024",18.9123144422163
"20011101",20.3435311715312
"20011109",21.8618280654298
"20011117",24.5167903953152
"20011125",23.983674115088
"20011203",19.0865951942915
"20011211",NA
"20011219",14.6345340559308
"20011227",9.06725602022561
"20020101",14.3584085290177
"20020109",19.8473250977049
"20020117",16.0109888712442
"20020125",NA
"20020202",13.1214838863825
"20020210",13.4004074652635
"20020218",14.3892257372813
"20020226",15.0888930432455
"20020306",16.0181257963628
"20020314",16.4121796333784
"20020322",18.0349781243027
"20020330",20.7950001965946
"20020407",22.0087825307086
"20020415",26.7308306539264
"20020423",30.9626665881333
"20020501",28.7158103781859
"20020509",27.5848116476078
"20020517",32.4179323584704
"20020525",35.5225462133228
"20020602",31.1062496150451
"20020610",26.7356278512333
"20020618",28.648448102048
"20020626",28.6983600776745
"20020704",27.4771582191736
"20020712",28.5387313893389
"20020720",18.0826363461168
"20020728",24.3363689479792
"20020805",23.7450392576731
"20020813",28.9601105079488
"20020821",28.6224984871499
"20020829",31.3253800160975
"20020906",30.5123370317388
"20020914",22.6346979881722
"20020922",28.0710796813408
"20020930",33.6986983868762
"20021008",34.9348631141833
"20021016",29.3152135838545
"20021024",23.1434532429393
"20021101",26.5485162511901
"20021109",30.7449750163555
"20021117",19.6842968947236
"20021125",18.0191700713672
"20021203",20.2196708050891
"20021211",21.8582940726901
"20021219",15.0303741219635
"20021227",6.661895841139
"20030101",9.92250517448275
"20030109",15.2356545717864
"20030117",21.2636447476727
"20030125",22.7307965511563
"20030202",20.320201400267
"20030210",24.7314324167035
"20030218",27.2218520031504
"20030226",32.6675395900784
"20030306",25.9133568976735
"20030314",26.8943658023375
"20030322",25.7938535911602
"20030330",32.1086562738842
"20030407",23.9077300867837
"20030415",19.4753605392095
"20030423",25.6211141990759
"20030501",37.3097738634217
"20030509",33.2461760767017
"20030517",25.4173372563264
"20030525",31.5745854564141
"20030602",33.1739288701507
"20030610",32.735702133775
"20030618",31.3733251900016
"20030626",26.4039052393405
"20030704",35.0458295481006
"20030712",38.9261578365276
"20030720",26.8988887660327
"20030728",36.4598077326404
"20030805",25.4296847690969
"20030813",21.9922987960044
"20030821",27.6509630436989
"20030829",28.8824637494716
"20030906",21.1714285714286
"20030914",35.0572413996213
"20030922",36.4601013570584
"20030930",31.9423513300425
"20031008",31.7949647695366
"20031016",30.3229375429609
"20031024",24.9807838027648
"20031101",25.2422680502542
"20031109",21.865897915923
"20031117",23.8825505901577
"20031125",20.7405008429153
"20031203",16.6111871289268
"20031211",14.8267507918526
"20031219",14.0757937099419
"20031227",8.23163246456466
"20040101",19.3566012498686
"20040109",15.3057846787239
"20040117",10.4150110857003
"20040125",16.0514024762056
"20040202",8.73563964045087
"20040210",15.7130404225723
"20040218",14.0553994623893
"20040226",16.5320074876129
"20040305",16.4024862971155
"20040313",18.5882146499093
"20040321",13.9495522019312
"20040329",16.5377228786736
"20040406",22.6548174413314
"20040414",32.5923756106225
"20040422",33.546268810995
"20040430",25.0404536014082
"20040508",30.4833974668005
"20040516",27.1450663294137
"20040524",23.3416428401239
"20040601",32.9371003532671
"20040609",24.6541800495549
"20040617",35.3408917905176
"20040625",33.58410278898
"20040703",29.5650352516581
"20040711",24.3977623366231
"20040719",25.0588297960488
"20040727",29.7951106195951
"20040804",32.314742204624
"20040812",26.2064033443595
"20040820",29.5271502766102
"20040828",26.1033740670877
"20040905",27.5968364908097
"20040913",25.1891093816191
"20040921",33.2581392326305
"20040929",30.2480626133548
"20041007",28.5086503764789
"20041015",24.933444851972
"20041023",20.6807617745143
"20041031",25.5649637468336
"20041108",27.8861592673034
"20041116",22.6112947063376
"20041124",17.402947577746
"20041202",19.5538561904956
"20041210",18.7257994098658
"20041218",22.6316355978601
"20041226",11.4708327406986
"20050101",10.7139197894725
"20050109",8.0742569249135
"20050117",18.772630645286
"20050125",21.8581351227149
"20050202",18.2739479736075
"20050210",15.7889019509956
"20050218",13.1227861792668
"20050226",10.6437688812165
"20050306",14.1807378700977
"20050314",13.9773380977156
"20050322",17.6758107517427
"20050330",21.1521548282189
"20050407",25.5606274028909
"20050415",18.4874782321211
"20050423",28.0964759801232
"20050501",26.2253381182268
"20050509",32.6007447030597
"20050517",30.9615070554294
"20050525",30.280506856333
"20050602",21.1902634717371
"20050610",21.1403961308153
"20050618",23.2388054242872
"20050626",21.0733111705581
"20050704",35.8216429841385
"20050712",37.5744524972819
"20050720",31.5147947390319
"20050728",33.5739623337513
"20050805",19.3916984463277
"20050813",22.7976850342354
"20050821",21.5552593904231
"20050829",23.6802963659223
"20050906",25.4288390366111
"20050914",25.3770527772869
"20050922",31.5675028112892
"20050930",35.5773112287142
"20051008",28.7343090869755
"20051016",21.5601683719463
"20051024",18.617997141496
"20051101",24.4561936078866
"20051109",24.6290587536459
"20051117",19.919608182485
"20051125",22.983580225733
"20051203",13.8068049234427
"20051211",10.2321189120905
"20051219",11.7765507656026
"20051227",9.81665097697707
"20060101",17.1204853847984
"20060109",17.364367928365
"20060117",20.3306557356436
"20060125",17.7403648056131
"20060202",16.5740924280485
"20060210",19.4722626856922
"20060218",NA
"20060226",13.8271799819701
"20060306",20.3178210644685
"20060314",23.5082335249401
"20060322",20.124076909597
"20060330",28.2017617655227
"20060407",24.8626679060123
"20060415",31.8974533719386
"20060423",29.7302476563325
"20060501",38.7757834039406
"20060509",34.0460382141436
"20060517",30.6432666686509
"20060525",30.8611034076351
"20060602",27.0297823149751
"20060610",26.6445815765977
"20060618",26.5926806694939
"20060626",29.5951494520898
"20060704",28.2912190939355
"20060712",31.2238366870858
"20060720",37.6595630691653
"20060728",22.0576283845107
"20060805",19.9078694463352
"20060813",20.45
"20060821",24.1783076140167
"20060829",32.5569021568169
"20060906",32.7753795065776
"20060914",35.9366536059254
"20060922",21.6994997645791
"20060930",20.5161283106449
"20061008",25.025076405916
"20061016",27.874483575514
"20061024",30.0100304161611
"20061101",28.3370851186209
"20061109",28.5989723800919
"20061117",24.7400118551075
"20061125",24.8446694510611
"20061203",15.8430345442282
"20061211",11.1843832170909
"20061219",18.8360399935759
"20061227",8.50784319501028
"20070101",16.4916156804378
"20070109",17.4870962640217
"20070117",14.3148051709349
"20070125",17.1544836969886
"20070202",21.4278973103256
"20070210",23.5554995347982
"20070218",21.5496351897383
"20070226",14.0959634982
"20070306",14.4521450366337
"20070314",14.6041654985178
"20070322",24.4963174534156
"20070330",22.1459263578966
"20070407",19.4981604977488
"20070415",29.0577002226367
"20070423",30.325779986799
"20070501",26.9910946070596
"20070509",36.7298693195735
"20070517",31.4037224914858
"20070525",30.2709184450313
"20070602",32.7000628034046
"20070610",NA
"20070618",35.5919992869188
"20070626",30.1706669820548
"20070704",35.5560578237667
"20070712",28.7333168824437
"20070720",31.1637940465781
"20070728",30.5536622163579
"20070805",23.4107787826763
"20070813",30.5524375681096
"20070821",26.4393544786532
"20070829",26.0365063794488
"20070906",30.4666666666667
"20070914",37.6232218358372
"20070922",32.4346928251309
"20070930",23.3488189832764
"20071008",16.5980865193412
"20071016",22.5673591000762
"20071024",23.2793490069158
"20071101",23.4447024166346
"20071109",24.1026434129449
"20071117",21.2373625197628
"20071125",17.0126327458681
"20071203",18.2112658510198
"20071211",21.5274990990836
"20071219",13.6840372665689
"20071227",8.66918680906275
