"dates","et_mm8"
"20010101",10.4213787209799
"20010109",9.78356807511737
"20010117",16.4001001752142
"20010125",10.7925505791074
"20010202",NA
"20010210",8.77046344315428
"20010218",10.1417404976416
"20010226",10.3631906157179
"20010306",NA
"20010314",17.5914204931426
"20010322",NA
"20010330",NA
"20010407",15.4518229995233
"20010415",20.3431389612404
"20010423",18.9742763043855
"20010501",27.150113978071
"20010509",30.5260505628075
"20010517",24.7134500324797
"20010525",NA
"20010602",23.485878144602
"20010610",33.9319458510098
"20010618",20.2637058041747
"20010704",28.2660135459972
"20010712",26.7927569810384
"20010720",25.4970485922383
"20010728",24.3104390530557
"20010805",34.3037246533212
"20010813",41.5789592324291
"20010821",26.9739608269575
"20010829",NA
"20010906",29.7932316458975
"20010914",32.7640356207297
"20010922",36.57480878561
"20010930",36.4646305876185
"20011008",29.8352986656387
"20011016",22.3297438276311
"20011024",17.7547409172126
"20011101",24.2963925452238
"20011109",20.2707531308777
"20011117",18.2836518942957
"20011125",20.6471527147975
"20011203",13.6787338912768
"20011211",NA
"20011219",13.2426128535875
"20011227",7.46469048974313
"20020101",13.4308363883291
"20020109",15.9519984518667
"20020117",11.371275689246
"20020125",NA
"20020202",NA
"20020210",12.1222351337781
"20020218",12.2007467359569
"20020226",14.2124171495663
"20020306",NA
"20020314",15.1087531806616
"20020322",15.2939530010477
"20020330",15.1768545908178
"20020407",16.4051471399016
"20020415",17.4056154010239
"20020423",22.066360035719
"20020501",20.8540650626686
"20020509",21.3899144407944
"20020517",22.9586805238524
"20020525",22.9059645191191
"20020602",26.4089552238806
"20020610",NA
"20020618",18.7059326028043
"20020626",25.3788961412441
"20020704",29.1187187962474
"20020712",27.8425166556364
"20020720",NA
"20020728",27.8204071323752
"20020805",26.6769063678976
"20020813",36.9006598803336
"20020821",27.6398796438778
"20020829",40.5805015560762
"20020906",33.7437342752215
"20020914",31.2220498781499
"20020922",32.9596333171594
"20020930",32.983934168245
"20021008",32.0027649199099
"20021016",27.8864040933912
"20021024",22.5269187087194
"20021101",23.3774256735328
"20021109",26.3026679339291
"20021117",NA
"20021125",NA
"20021203",15.5255045806216
"20021211",16.7397979037218
"20021219",11.0695662381569
"20021227",6.13028770916095
"20030101",12.2546984256349
"20030109",14.8670034471146
"20030117",15.995161455995
"20030125",16.6822680688756
"20030202",16.7808500325415
"20030210",19.5871615031167
"20030218",19.0915466925591
"20030226",28.1378636537358
"20030306",20.1604892432019
"20030314",13.8697920706744
"20030322",25.1780239310391
"20030330",27.1339855230084
"20030407",22.8968339143733
"20030415",22.5934729371783
"20030423",25.920936208965
"20030501",34.5465892365659
"20030509",29.2822841611009
"20030517",24.3816691486721
"20030525",25.8700401573931
"20030602",27.6351531918055
"20030610",30.1140257532603
"20030618",25.860203460729
"20030626",30.3557326339665
"20030704",33.6604090716912
"20030712",39.9346547936428
"20030720",38.9373808662082
"20030728",40.1789134323682
"20030805",19.8066715542522
"20030813",17.275
"20030821",29.3051647740524
"20030829",25.753403435243
"20030906",23.00833849969
"20030914",34.9938591267184
"20030922",37.0559992680804
"20030930",34.652955455189
"20031008",26.4647945748876
"20031016",29.1235679041821
"20031024",22.0799808716293
"20031101",20.7391549242548
"20031109",20.9103610897186
"20031117",18.8702783530169
"20031125",14.5522451155347
"20031203",14.4563872699296
"20031211",11.2736014349976
"20031219",12.8581733581354
"20031227",7.15216769427318
"20040101",8.86306588822218
"20040109",11.3442429947178
"20040117",6.74137676223025
"20040125",9.47333532091097
"20040202",12.1329627204244
"20040210",14.9628217996365
"20040218",9.28213316965965
"20040226",11.2569643317362
"20040305",9.26016482372376
"20040313",12.9252029869328
"20040321",NA
"20040329",11.8506011998684
"20040406",13.4654717975751
"20040414",25.0465649278162
"20040422",28.3428340929576
"20040430",26.780622406639
"20040508",23.0484375
