"dates","et_mm8"
"20010101",25.3628103519763
"20010109",16.2037246325793
"20010117",21.4347636833286
"20010125",18.6140895108591
"20010202",14.1603254269238
"20010210",12.261341176085
"20010218",14.2626612445219
"20010226",13.2340861591692
"20010306",11.870302504608
"20010314",16.5735066492925
"20010322",15.8496313793277
"20010330",18.3957775085561
"20010407",21.5595756645165
"20010415",34.0198491347063
"20010423",25.323163019322
"20010501",22.2751968794865
"20010509",19.0387734156478
"20010517",21.6484196213842
"20010525",17.4289477814121
"20010602",20.9061538461538
"20010610",26.532435738155
"20010618",19.6022113467733
"20010704",18.403125
"20010712",24.1313166711596
"20010720",20.3675076204683
"20010728",24.7970806100218
"20010805",32.0501300168596
"20010813",34.3123913181406
"20010821",31.8395996299847
"20010829",26.0044174174174
"20010906",33.5571479072327
"20010914",37.86920084626
"20010922",30.7077945270201
"20010930",23.2045876207139
"20011008",22.6266328515842
"20011016",20.3599108555501
"20011024",20.954477167931
"20011101",22.737293153557
"20011109",21.8153706324017
"20011117",21.6523376751321
"20011125",23.0094606690974
"20011203",20.9507604036126
"20011211",15.2599110384596
"20011219",13.3824760285122
"20011227",10.5295261333263
"20020101",15.2766343352449
"20020109",17.6630206248144
"20020117",18.7259852802705
"20020125",13.2150405869497
"20020202",19.8474871315349
"20020210",17.9496420643804
"20020218",19.4036931953308
"20020226",17.6227011409939
"20020306",11.517928690568
"20020314",15.3468597739625
"20020322",15.1192964107278
"20020330",16.6531192348622
"20020407",18.2288958709071
"20020415",20.6879821538348
"20020423",26.0340259130547
"20020501",25.3317508527945
"20020509",21.1322780177499
"20020517",21.6676588523786
"20020525",24.2237751395011
"20020602",23.7572276160445
"20020610",NA
"20020618",26.2485842804184
"20020626",25.3214152072412
"20020704",23.8472947179807
"20020712",22.3222222222222
"20020720",NA
"20020728",24.7396937216305
"20020805",19.6771671671672
"20020813",29.9110225323148
"20020821",32.435574779697
"20020829",38.62850534185
"20020906",32.3215953402975
"20020914",27.4682623954708
"20020922",25.9881444835622
"20020930",35.8793997554857
"20021008",33.5187263504263
"20021016",32.6774979271786
"20021024",23.1596371272541
"20021101",25.9480038286399
