"dates","et_mm8"
"20010101",39.138329520142
"20010109",21.5594537971081
"20010117",26.7397621315344
"20010125",27.6639235966343
"20010202",28.4519278997531
"20010210",26.3673874442313
"20010218",27.8674303835243
"20010226",27.2811564292037
"20010306",26.5913679723502
"20010314",24.4621518972227
"20010322",26.1995185247285
"20010330",28.202797211904
"20010407",30.8686568447838
"20010415",29.8123335329324
"20010423",27.9855228511801
"20010501",25.6716838180944
"20010509",22.347607410742
"20010517",27.8305685317605
"20010525",25.9145843153601
"20010602",26.9529973607408
"20010610",26.397670109746
"20010618",14.1313208031616
"20010704",24.237018566096
"20010712",29.1168555504891
"20010720",25.8377351604401
"20010728",25.4935470075704
"20010805",20.1216573730322
"20010813",19.5165064102564
"20010821",19.0382029088386
"20010829",26.383297763476
"20010906",26.8323582325739
"20010914",23.8908110156111
"20010922",19.0922179898922
"20010930",20.4812481734149
"20011008",20.168478341181
"20011016",20.3509931852166
"20011024",27.3585175853209
"20011101",25.9413056063203
"20011109",22.3767950017373
"20011117",23.949673590894
"20011125",24.3024510573094
"20011203",20.4742391944542
"20011211",16.7412413429088
"20011219",21.9865120016755
"20011227",12.9909083490998
"20020101",21.1349166959779
"20020109",27.1850747683211
"20020117",26.7437498294036
"20020125",27.3204357350204
"20020202",24.3804883605486
"20020210",26.4117978149098
"20020218",28.8537174893919
"20020226",26.2128263877374
"20020306",27.1779781406975
"20020314",26.3849504644342
"20020322",24.8155357646376
"20020330",26.2527679540269
"20020407",21.9109770595275
"20020415",23.5304522314535
"20020423",26.4475866757308
"20020501",27.4028229056126
"20020509",23.1970475825747
"20020517",24.6835799839452
"20020525",23.4840493451498
"20020602",27.4514794616703
"20020610",24.764788932154
"20020618",20.7848539044169
"20020626",21.1837410019297
"20020704",26.5056068451668
"20020712",27.7280727151116
"20020720",30.7526584145716
"20020728",21.9223630725069
"20020805",18.714105971632
"20020813",NA
"20020821",23.1430483455264
"20020829",21.5915382094988
"20020906",19.2160964206094
"20020914",16.8861605748204
"20020922",24.3143657118243
"20020930",23.6174261702851
"20021008",24.1555031398799
"20021016",30.8366343085918
"20021024",24.3872516181282
"20021101",18.0031401908952
"20021109",27.6433828977835
"20021117",30.9724571912438
"20021125",25.4108247112608
"20021203",29.1644358216448
"20021211",28.9282105858778
"20021219",27.9166388297996
"20021227",13.6449272180242
"20030101",25.4743950902055
"20030109",24.8272356543945
"20030117",26.8576502833028
"20030125",26.9770325365395
"20030202",24.3280698751831
"20030210",29.6871051809334
"20030218",27.5623623119848
"20030226",27.56781153651
"20030306",30.1995296846406
"20030314",27.2084942082336
"20030322",28.8194068798603
"20030330",26.1477525957316
"20030407",26.2682456456865
"20030415",24.4507803619702
"20030423",29.4900267382154
"20030501",26.8508070511963
"20030509",23.2210413160361
"20030517",18.0451676421215
"20030525",24.2763057476747
"20030602",26.0668756102246
"20030610",27.4338772529448
"20030618",26.5571339336372
"20030626",27.3776863899895
"20030704",27.1103272301118
"20030712",30.836136438203
"20030720",21.8749686240893
"20030728",22.8072163573236
"20030805",25.4000491802503
"20030813",25.0424452346203
"20030821",26.5515388908325
"20030829",24.4245143043714
"20030906",20.3132890365449
"20030914",21.4922310492548
"20030922",26.0868935061905
"20030930",28.8726718499482
"20031008",21.4174341547352
