"dates","et_mm8"
"20010101",44.8
"20010109",18.8716944112947
"20010117",28.6545510728622
"20010125",26.3443735808735
"20010202",26.4771937187157
"20010210",21.5003571428571
"20010218",37.0427997529472
"20010226",31.3826229508197
"20010306",30.2757631822387
"20010314",37.1985997609215
"20010322",31.62266819435
"20010330",40.8926177798673
"20010407",40.9676841692158
"20010415",45.0061716262432
"20010423",38.9351891797794
"20010501",42.3505948711293
"20010509",26.2109247996362
"20010517",33.1546514833064
"20010525",27.0094075450499
"20010602",33.1273750029237
"20010610",32.6778607783562
"20010618",15.7823389390978
"20010704",30.1814216433421
"20010712",31.3647022341351
"20010720",28.1108295076444
"20010728",30.6262655353729
"20010805",29.2357634112792
"20010813",31.5217825082215
"20010821",29.2693080863757
"20010829",25.393605907781
"20010906",27.8951539668125
"20010914",29.3666471240353
"20010922",33.922061727917
"20010930",20.696640537514
"20011008",18.6082068541471
"20011016",19.4037072957077
"20011024",21.9411125370979
"20011101",23.4883663641709
"20011109",17.7467212400941
"20011117",19.5213333333333
"20011125",22.154327994184
"20011203",22.1616628775576
"20011211",12.3239175257732
"20011219",17.34
"20011227",8.24074445625646
"20020101",13.6112500887511
"20020109",26.7958636899884
"20020117",28.2966388252259
"20020125",25.4100615339945
"20020202",19.9814131938931
"20020210",25.3399843437418
"20020218",25.3351490349646
"20020226",33.9982484033523
"20020306",21.8761705178404
"20020314",25.9175778695057
"20020322",32.5402492044037
"20020330",44.0308902581536
"20020407",36.196373603065
"20020415",38.3790042583444
"20020423",36.6526154058032
"20020501",42.7783914345958
"20020509",32.9592389445395
"20020517",30.2312653233389
"20020525",31.5763367904608
"20020602",26.8532625994695
"20020610",34.9608156542881
"20020618",29.8456289877905
"20020626",32.3391477197433
"20020704",30.6174355106772
"20020712",35.0391894800032
"20020720",30.8424790819716
"20020728",30.8590402414487
"20020805",25.0896236432279
"20020813",NA
"20020821",25.895481596057
"20020829",26.0165408173186
"20020906",19.4842100826168
"20020914",19.9609756097561
"20020922",22.9096688146261
"20020930",22.4116038659163
"20021008",23.4159891598916
"20021016",36.6775766558592
"20021024",25.5335974125496
"20021101",NA
"20021109",23.2878147470643
"20021117",24.7331767736071
"20021125",22.579600608937
"20021203",21.5391392096123
"20021211",27.6842351668
"20021219",28.0409181712677
"20021227",NA
"20030101",16.851906867336
"20030109",16.5029918404352
"20030117",29.9627243553563
"20030125",30.5129057464128
"20030202",30.6296197143657
"20030210",33.3144323545382
"20030218",36.5771475098385
"20030226",40.6133638225182
"20030306",35.4174861973289
"20030314",35.6536608768533
"20030322",30.3491159428947
"20030330",33.8703584009094
"20030407",42.4059439018043
"20030415",44.0961276063661
"20030423",40.4718927024325
"20030501",37.0932801852999
"20030509",43.1729779376591
"20030517",28.0338758485319
"20030525",26.0529819328447
"20030602",31.4033620844734
"20030610",28.9448763408157
"20030618",31.5666571004453
"20030626",31.235370178476
"20030704",31.8347578192506
"20030712",39.7278183355106
"20030720",26.3769405614274
"20030728",33.8943485651075
"20030805",27.9477977213929
"20030813",25.4094497752945
"20030821",27.5799768875193
"20030829",27.339356268078
"20030906",25.6026607783605
"20030914",28.114939737289
"20030922",32.8813239301497
"20030930",34.8155910889825
"20031008",33.826494125983
"20031016",26.2418936933857
"20031024",36.2337556663805
"20031101",36.8041033674572
"20031109",27.1381749733101
"20031117",21.4206422018349
"20031125",17.2064350292501
"20031203",14.8917308884755
"20031211",NA
"20031219",13.0882927802154
"20031227",8.49915288153682
"20040101",17.7045343978045
"20040109",20.0048402415033
